France,	2910989,	70283
Italy, 2381277,	82177	
Spain,	2336451,	53769 
Germany,	2040659,	46633	
Poland,	1438914,	33407	
Netherlands,	916186,	13042	
Czechia,	891852,	14449	
Romania,	695153,	17271	
Belgium, 680040,	20491	
Sweden,	531145,	10764	
Austria, 391113,	7014	
Hungary,	352703,	11409	
Croatia	,225128	,4655	
Slovakia,	224385,	3526	
Bulgaria,	211813	,8483	
Denmark,	189895,	1805	
Ireland,	172726,	2608	
Lithuania,	167992	,2469	
Slovenia,	149434,	3371	
Greece,	148607, 5469	
Norway,	58651	,521	
Latvia,	55664,	978	
Luxembourg,	48852, 552
Finland,	40337,	621	
Estonia,	37344,	333	
Cyprus,	28968,170	
Malta	,15742,	241	
Iceland,	5970,	29	
Liechtenstein,	2395, 50
